Name,Title,Sponsors,Status
H.R.2349 — 119th Congress (2025-2026),"To designate residents of the Xinjiang Uyghur Autonomous Region as Priority 2 refugees of special humanitarian concern, and for other purposes.","Sponsor: Subramanyam, Suhas [Rep.-D-VA-10] (Introduced 03/25/2025) Cosponsors: (12)",Introduced
H.R.2348 — 119th Congress (2025-2026),"To direct the Secretary of Transportation to produce and distribute a national public safety messaging campaign, and for other purposes.","Sponsor: Stauber, Pete [Rep.-R-MN-8] (Introduced 03/25/2025) Cosponsors: (3)",Introduced
H.R.2347 — 119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to exclude from gross income any damages, other than punitive damages, received on account of any sexual acts or sexual contact.","Sponsor: Smucker, Lloyd [Rep.-R-PA-11] (Introduced 03/25/2025) Cosponsors: (1)",Introduced
H.R.2346 — 119th Congress (2025-2026),"To require the imposition of sanctions on the Popular Resistance Committees and other associated entities, and for other purposes.","Sponsor: Sherman, Brad [Rep.-D-CA-32] (Introduced 03/25/2025) Cosponsors: (5)",Introduced
H.R.2345 — 119th Congress (2025-2026),"To establish the Ocmulgee Mounds National Park and Preserve in the State of Georgia, and for other purposes.","Sponsor: Scott, Austin [Rep.-R-GA-8] (Introduced 03/25/2025) Cosponsors: (12)",Introduced
H.R.2344 — 119th Congress (2025-2026),"To establish a program to increase drinking water and wastewater system threat preparedness and resilience, and for other purposes.","Sponsor: Schakowsky, Janice D. [Rep.-D-IL-9] (Introduced 03/25/2025) Cosponsors: (0)",Introduced
H.R.2343 — 119th Congress (2025-2026),"To amend title XVIII of the Social Security Act to provide for coverage and payment of Alpha-1 Antitrypsin Deficiency Disorder treatment under part B of such title, and for other purposes.","Sponsor: Salazar, Maria Elvira [Rep.-R-FL-27] (Introduced 03/25/2025) Cosponsors: (8)",Introduced
H.R.2342 — 119th Congress (2025-2026),"To establish alternate procedures for lump sum payments for certain covered small disasters, and for other purposes.","Sponsor: Rouzer, David [Rep.-R-NC-7] (Introduced 03/25/2025) Cosponsors: (1)",Introduced
H.R.2341 — 119th Congress (2025-2026),"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to waive certain prohibitions on duplication of benefits, and for other purposes.","Sponsor: Rouzer, David [Rep.-R-NC-7] (Introduced 03/25/2025) Cosponsors: (1)",Introduced
H.R.2340 — 119th Congress (2025-2026),"To amend title XVIII of the Social Security Act to provide for the automatic qualification of certain Medicaid beneficiaries for premium and cost-sharing subsidies under part D of the Medicare program, and for other purposes.","Sponsor: Pappas, Chris [Rep.-D-NH-1] (Introduced 03/25/2025) Cosponsors: (1)",Introduced
